      30,  -0.235061,   0.393762,   0.920283
      45,  -0.234817,   0.392541,   0.921138
      61,  -0.230056,   0.395105,   0.917842
      76,  -0.228346,   0.395349,   0.917842
      92,  -0.227370,   0.392663,   0.917475
     107,  -0.222243,   0.395349,   0.917109
     123,  -0.224562,   0.393396,   0.914546
     138,  -0.220778,   0.392053,   0.910395
     154,  -0.220778,   0.392663,   0.910395
     169,  -0.218824,   0.393884,   0.907953
     185,  -0.216139,   0.389245,   0.890862
     200,  -0.214185,   0.381188,   0.879387
     216,  -0.209547,   0.382287,   0.875481
     231,  -0.215040,   0.382287,   0.872551
     247,  -0.216871,   0.381432,   0.874016
     263,  -0.217726,   0.377525,   0.876824
     279,  -0.217604,   0.384362,   0.880608
     294,  -0.211500,   0.385216,   0.881340
     310,  -0.212232,   0.388757,   0.877922
     326,  -0.218458,   0.379723,   0.880608
     342,  -0.230056,   0.379479,   0.881585
     358,  -0.233230,   0.384606,   0.903803
     374,  -0.238235,   0.385338,   0.926753
     389,  -0.243362,   0.370323,   0.927852
     405,  -0.248611,   0.374229,   0.922481
     419,  -0.249466,   0.378990,   0.916987
     435,  -0.248245,   0.377892,   0.915888
     450,  -0.246170,   0.384118,   0.913813
     466,  -0.242263,   0.389733,   0.909662
     481,  -0.246658,   0.390466,   0.903314
     497,  -0.231398,   0.392053,   0.901972
     513,  -0.234206,   0.387536,   0.893792
     529,  -0.220778,   0.381188,   0.888665
     545,  -0.217604,   0.378258,   0.891351
     560,  -0.229079,   0.375328,   0.887200
     575,  -0.226882,   0.376305,   0.883049
     591,  -0.217848,   0.372887,   0.888299
     607,  -0.212476,   0.375816,   0.886956
     623,  -0.213209,   0.375816,   0.889398
     638,  -0.213331,   0.378258,   0.894403
     653,  -0.221022,   0.378746,   0.890130
     669,  -0.222243,   0.375572,   0.885735
     684,  -0.221998,   0.375816,   0.882805
     700,  -0.221510,   0.378014,   0.879631
     716,  -0.223463,   0.373131,   0.889398
     731,  -0.226882,   0.374107,   0.893060
     747,  -0.241287,   0.376549,   0.905023
     762,  -0.236526,   0.385583,   0.909174
     778,  -0.224196,   0.390222,   0.912104
     793,  -0.225417,   0.380700,   0.905756
     808,  -0.224684,   0.373985,   0.899652
     824,  -0.226393,   0.373619,   0.904413
     839,  -0.227614,   0.374352,   0.906000
     855,  -0.222975,   0.373985,   0.903925
     870,  -0.225417,   0.369590,   0.910151
     886,  -0.234817,   0.376671,   0.915766
     902,  -0.238601,   0.375572,   0.916255
     916,  -0.241287,   0.377037,   0.907221
     932,  -0.234328,   0.373009,   0.903437
     948,  -0.228102,   0.370933,   0.902094
     964,  -0.225905,   0.374352,   0.898187
     980,  -0.227126,   0.377525,   0.894037
     996,  -0.232985,   0.379235,   0.892572
    1012,  -0.241287,   0.380455,   0.896966
    1026,  -0.239333,   0.376793,   0.899408
    1042,  -0.231398,   0.374840,   0.901239
    1058,  -0.230544,   0.373131,   0.900873
    1073,  -0.228591,   0.374596,   0.899896
    1090,  -0.223463,   0.370689,   0.901117
    1105,  -0.218580,   0.373619,   0.897943
    1120,  -0.218580,   0.371177,   0.896478
    1136,  -0.218580,   0.377159,   0.892083
    1152,  -0.216627,   0.369468,   0.890374
    1167,  -0.219801,   0.367027,   0.889886
    1182,  -0.219313,   0.365074,   0.893304
    1198,  -0.217115,   0.370201,   0.901850
    1214,  -0.216993,   0.368248,   0.919307
    1230,  -0.222243,   0.374596,   0.902582
    1246,  -0.225539,   0.378502,   0.898553
